6.140760137753913384e+00,7.376335333259131932e-01,6.827973454401686695e+02,9.709520935227203831e-01,2.795643306900380889e-02,2.962103349334663793e+00,4.716384162465781654e-02,2.631117092600770025e-03,6.213689332568691492e-01
6.848246718644512399e+00,8.978687567780865297e-01,6.502225158605956494e+02,1.595337147994151827e+00,6.201540362890071989e-02,4.185975856127387651e+00,6.481591825311737443e-02,8.013823892931978138e-03,6.464299742188412967e-01
6.987386019842218410e+00,5.941301933217240094e-01,1.568254016622801714e+02,2.982490183655811311e+00,1.826299234963220663e-01,2.895237331876604259e+00,2.877685773547394160e-02,5.997959406907829236e-03,6.453027917224917198e-01
6.150821907156194257e+00,8.029181410599188773e-01,2.740932596022029202e+02,1.350020461662338800e+00,1.782043523203901969e-01,1.888773192055628325e+00,3.234504269291820638e-02,2.657136069604779669e-04,6.659716965408279954e-01
6.212096376094680572e+00,6.859520140359149920e-01,3.780484042726179723e+02,2.050010210889603890e+00,1.489619277226369443e-01,1.621253912297531130e+00,8.543704652860241444e-02,4.823352797207320491e-03,8.046927640670883397e-01
5.597325493430189702e+00,5.040978926538950411e-01,5.046540026182641725e+01,1.208248275829872709e+00,2.598660161627306953e-01,2.329403036360875312e+00,5.041050537811964799e-02,9.821450665384423573e-03,7.568832142040115007e-01
1.434452150622792743e+00,8.798625997451514635e-01,1.179665732288866451e+02,1.513616431970935317e+00,2.043839062894139275e-02,3.165825454126613980e+00,6.171248497429013963e-02,7.253349767139130079e-03,7.563966554776919704e-01
4.799785678171379466e+00,6.714868063485162075e-01,2.506794254914384226e+02,2.344234450601935471e+00,2.979514043024393821e-01,1.317692899004775375e+00,7.233739204247727206e-02,3.216308314660596378e-03,8.324827826516808527e-01
7.160166786918502169e+00,8.826872286834519521e-01,1.806869606644616226e+02,2.599178646818745442e+00,9.493655811626262875e-02,7.473666894845276687e-01,3.943848742728216922e-02,7.188118887271562930e-03,7.602256575434880315e-01
5.295473713824868867e+00,6.412996278739642175e-01,1.255427829646277758e+02,3.833749220307813843e+00,9.240745023739339870e-02,8.551508788719830889e+00,6.166025798120684104e-02,3.792747580575345570e-03,6.433967022340643105e-01
